Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_DummySummon_P_Description,Text,,"HP가 0 이하가 되거나 &a가 전투 불능이 되면 홀로그램이 파괴됩니다.
일부 보스 스킬의 대상이 될 수 없습니다.","Hologram is destroyed when HP is below 0 or &a faints.
Can't be targeted by some boss skills.","ホログラムガードは、HPが0になるか、&aが戦闘不能になると破壊されます。
一部のボススキルのターゲットにはなりません。","全息护卫会在血量归零或&a无法战斗时被摧毁。
无法被一些boss技能选为目标。","全息護衛會在血量歸零或&a無法戰鬥時被摧毀。
無法被一些boss技能選為目標。"
Buff/B_DummySummon_P_Name,Text,,홀로그램 가드,Protection Hologram,ホログラムガード,全息护卫,全息護衛
Buff/B_EquipUnique_SwapChar_Description,Text,,"턴 종료 시, 이번 턴에 받은 피해 횟수에 따라 &a 중첩의 강인함(치유 게이지 보호, 중첩당 +5% 방어력)을 얻습니다.","Receive &a stacks of Tenacity (protect healing gauge, +5% armor per stack) at the end of turn based on num of hits received this turn.",ターン終了時に、このターンに受けたヒット数に基づいて、&aスタックのタフネス（回復ゲージを保護し、スタックごとに+5%の防御力を付与）を受け取ります。,在回合结束时根据本回合被命中次数获得&a层坚韧（保护体力极限，每层+5%防御）。,在回合結束時依本回合被命中次數獲得&a層堅韌（保護體力極限，每層+5%防禦）。
Buff/B_EquipUnique_SwapChar_Name,Text,,수호의 창,Spear of Protection,ガードの槍,护卫之枪,護衛之槍
Buff/B_RelicSixSense_SwapChar_Description,Text,,유닛에 사라지지 않는 '파악됨!'을 적용합니다. 패배 시 '제6감'을 다른 유닛으로 전이합니다.,"Apply nonvanishing ""Identified!"" to the unit. When defeated, transfer ""6th Sense"" to another unit.",ユニットに消えない「洞察」を与えられる。倒されると、「第六感」を別のユニットに移します。,对该单位施加不会消失的“洞察”减益。被击杀时将“第六感”施加给另一单位。,對該單位施加不會消失的「洞察」減益。被擊殺時將「第六感」施加給另一個單位。
Buff/B_RelicSixSense_SwapChar_Name,Text,,제6감,6th Sense,第六感,第六感,第六感
Buff/B_EquipDrone_SwapChar_Description,Text,,"<color=#0096FF>위치 버프</color>
새로운 턴이 시작될 때, 버프를 새로운 위치로 이동할 수 있습니다.","<color=#0096FF>Position Buff</color>
At the start of a new turn, select to move the buff to a new position.","<color=#0096FF>位置バフ</color>
新しいターンの開始時に、バフを新しい位置に移動することを選択します。","<color=#0096FF>位置增益</color>
回合开始时，可选择将该增益移动至另一个位置。","<color=#0096FF>位置增益</color>
回合開始時，可選擇將此增益移動至另一個位置。"
Buff/B_EquipDrone_SwapChar_Name,Text,,드론 지원,Drone Support,ドローンの支援,无人机支援,無人機支援
Buff/B_SwapChar_10_S_Description,Text,,,,,,
Buff/B_SwapChar_10_S_Name,Text,,배리어,Barrier,バリア,保护罩,保護罩
Buff/B_SwapChar_11_T_Description,Text,,"적에게 타겟팅되었을 때, 공격받을 수 없는 위치로 <color=#0096FF>위치 교환</color>합니다 (이 버프가 없고 HP가 가장 높은 아군을 우선시합니다). 스택 1개를 제거합니다. 이 적의 공격은 치유 게이지를 줄일 수 없습니다.","When targeted by an enemy, <color=#0096FF>swap</color> to a position that cannot be attacked (prioritize the ally with the highest HP & without this buff) and remove one stack. This enemy attack cannot reduce healing gauge.",敵にターゲットされた場合、攻撃できない位置に<color=#0096FF>位置交換</color>します（このバフを持たず、HPが最も高い味方を優先します）、スタックを1減る。この敵の攻撃は回復ゲージを減らせない。,当被敌人瞄准时，与一个目标外的友军<color=#0096FF>换位</color>（优先选择没有此增益的血量最高的友军） 并消耗一层。此次敌人的攻击不会减少体力极限。,當被敵人瞄準時，與一個目標外的友軍<color=#0096FF>換位</color>（優先選擇沒有此增益的血量最高的友軍） 並消耗一層。此次敵人的攻擊不會減少體力極限。
Buff/B_SwapChar_11_T_Name,Text,,위험 감지,Danger Perception,危険感知,危险预知,危險預知
Buff/B_SwapChar_11_T_2_Description,Text,,"아군과 <color=#0096FF>위치 교환</color>할 때, 스킬 1개를 뽑고 스택 1개를 제거합니다.","When <color=#0096FF>swap</color> with an ally, draw 1 skill and remove one stack.",味方と<color=#0096FF>位置交換</color>すると、スキルを1個引く、スタックを1減る。,当与一名友军<color=#0096FF>换位</color>时，抽取一个技能并消耗一层。,當與一名友軍<color=#0096FF>換位</color>時，抽取一個技能並消耗一層。
Buff/B_SwapChar_11_T_2_Name,Text,,날렵한 발걸음,Fleet-Footed,迅速な足取り,迅捷步伐,迅捷步伐
Buff/B_SwapChar_2_S_Description,Text,,"&a가 다른 아군을 타겟팅했을 때, 해당 아군과 <color=#0096FF>위치 교환</color>합니다.
이 버프는 '반격 보호'와 '전선을 사수하라!'보다 우선순위가 낮습니다.","When &a targets another ally, <color=#0096FF>swap</color> with the ally.
This buff has lower priority than ""Counter-Protected"" and ""Hold the Line!"".","&aが他の味方をターゲットした場合、その味方と<color=#0096FF>位置交換</color>します。
このバフは「反撃保護」と「戦線を守れ！」よりも優先度が低いです。","当&a瞄准其他友军时，与该友军<color=#0096FF>换位</color>。
此增益优先级低于“反击保护”和“坚守战线！”。","當&a瞄準其他友軍時，與該友軍<color=#0096FF>換位</color>。
此增益優先權低於「反擊保護」和「堅守戰線！」。"
Buff/B_SwapChar_2_S_Name,Text,,경계 중,Guarding,警戒中,警戒中,警戒中
Buff/B_SwapChar_2_T_Description,Text,,,,,,
Buff/B_SwapChar_2_T_Name,Text,,방해 받음,Distracted,足止めされた,被牵制,被牽制
Buff/B_SwapChar_3_T_Description,Text,,행동 시 1중첩씩 해제됩니다.,1 stack removed per action.,行動する度にストックが1減る。,行动时消耗1层层数。,行動時消耗1層層數。
Buff/B_SwapChar_3_T_Name,Text,,균형 상실,Lost Balance,バランスを失う,失衡,失衡
Buff/B_SwapChar_5_1_Description,Text,,"고유 <color=#0096FF>위치 버프</color>
매 턴 오른쪽 아군으로 이동하며, 끝에 도달하면 사라집니다.","Unique <color=#0096FF>Position Buff</color>
It moves to the right ally every turn, and vanishes after reaching the end.","ユニーク<color=#0096FF>位置バフ</color>
毎ターン右の味方に移動し、最後に到達すると消滅します。","唯一<color=#0096FF>位置增益</color>
每回合移动至右方的友军，移动到最右端之后解除。","唯一<color=#0096FF>位置增益</color>
每回合移動至右方的友軍，移動到最右端後解除。"
Buff/B_SwapChar_5_1_Name,Text,,공격 증가!,Attack Increase!,攻撃増加！,攻击增加！,攻擊增加！
Buff/B_SwapChar_5_2_Description,Text,,"고유 <color=#0096FF>위치 버프</color>
매 턴 왼쪽 아군으로 이동하며, 끝에 도달하면 사라집니다.","Unique <color=#0096FF>Position Buff</color>
It moves to the left ally every turn, and vanishes after reaching the end.","ユニーク<color=#0096FF>位置バフ</color>
毎ターン左の味方に移動し、最後に到達すると消滅します。","唯一<color=#0096FF>位置增益</color>
每回合移动至左方的友军，移动到最左端之后解除。","唯一<color=#0096FF>位置增益</color>
每回合移動至左方的友軍，移動到最左端之後解除。"
Buff/B_SwapChar_5_2_Name,Text,,치유 증가!,Healing Increase!,回復増加！,治疗增加！,治療增加！
Buff/B_SwapChar_6_T_Description,Text,,,,,,
Buff/B_SwapChar_6_T_Name,Text,,강화된 감지,Enhanced Perception,強化された感知,强化感知,強化感知
Buff/B_SwapChar_7_T_Description,Text,,"이 버프의 배리어보다 높은 피해를 받았을 때, 피해를 무효화하고 버프를 해제합니다.
버프 아이콘을 클릭하여 이 아군을 다른 아군과 <color=#0096FF>위치 교환</color>할 수 있습니다 (첫 사용은 무료, 이후 1 마나 소모).","When receiving damage higher than barrier of this buff, nullify the damage and remove the buff.
You can click the buff icon to <color=#0096FF>swap</color> this ally with another ally (the first use is free, after that costs 1 mana).","このバフのバリアよりも高いダメージを受けた場合、ダメージを無効化し、バフを解除します。
バフアイコンをクリックして、この味方を他の味方と<color=#0096FF>位置交換</color>できます（最初の使用は無料、その後は1マナ消費）。","当受到高于此保护罩的伤害时，免疫伤害并解除该增益。
你可以点击增益图标将该角色与另一友军<color=#0096FF>换位</color>（第一次免费，之后消耗1法力）。","當受到高於此保護罩的傷害時，免疫傷害並解除此增益。
你可以點選增益圖示將該角色與另一友軍<color=#0096FF>換位</color>（第一次免費，之後消耗1法力）。"
Buff/B_SwapChar_7_T_Name,Text,,홀로그램 가드,Protection Hologram,ホログラムガード,全息护卫,全息護衛
Buff/B_SwapChar_8_T_Description,Text,,<color=#0096FF>위치 교환</color>이 발생할 때마다 &a 피해(&b% 공격력)의 추가 타격을 받습니다.,Receive an additional hit that deals &a damage (&b% attack power) whenever a <color=#0096FF>swap</color> occurs.,<color=#0096FF>位置交換</color>が発生するたびに、&aダメージ（&b%攻撃力）の追加ヒットを受けます。,每当有友军<color=#0096FF>换位</color>，受到一次&a伤害（&b%攻击力）的追击。,每當有友軍<color=#0096FF>換位</color>，受到一次&a傷害（&b%攻擊力）的追擊。
Buff/B_SwapChar_8_T_Name,Text,,게릴라 타겟,Guerrilla Target,ゲリラターゲット,游击目标,遊擊目標
Buff/B_SwapChar_9_T_Description,Text,,"적이 이 아군을 타겟팅했을 때, &a가 이 아군과 <color=#0096FF>위치 교환</color>하고 &b 피해로 먼저 공격합니다. 그 후 이 버프를 해제하고 이번 턴에만 사용할 수 있는 '반격 전략'을 생성합니다.
(이 버프는 한 번에 한 아군에게만 활성화됩니다)","When an enemy targets this ally, &a <color=#0096FF>swaps</color> with the ally and attacks before with &b damage. Then remove this buff and create a ""Counter-Offensive"" that can only be used this turn.
(This buff can be active on only one ally at a time)",敵がこの味方をターゲットした場合、&aがこの味方と<color=#0096FF>位置交換</color>し、&bダメージで先に攻撃します。その後、このバフを解除し、このターンにのみ使用できる「反撃戦略」を作成します。,当敌人瞄准此角色时，&a与该角色<color=#0096FF>换位</color>并在敌人前造成&b伤害，然后解除此增益并生成一张仅本回合能使用的“反击策略”。,當敵人瞄準此角色時，&a與此角色<color=#0096FF>換位</color>並在敵人前造成&b傷害，然後解除此增益並生成一張僅本回合能使用的「反擊策略」。
Buff/B_SwapChar_9_T_Name,Text,,반격 보호,Counter-Protected,反撃保護,反击保护,反擊保護
Buff/B_SwapChar_Rare_1_T_Description,Text,,"적이 아군을 타겟팅했을 때, 해당 아군과 <color=#0096FF>위치 교환</color>하고 &a(&c% 최대 HP)만큼 치유합니다.
적에게 타겟팅되었을 때, &b 피해로 먼저 공격하고 스택 1개를 제거합니다.
버프 아이콘을 클릭하여 토글할 수 있습니다.","When an enemy targets an ally, <color=#0096FF>swap</color> with the ally and heal by &a (&c% max HP).
When targeted by an enemy, attack before with &b damage and remove one stack.
Can be toggled by clicking the buff icon.","敵が味方をターゲットした場合、その味方と<color=#0096FF>位置交換</color>し、&a回復します（&c%最大体力）。
敵にターゲットされた場合、&bダメージで先に攻撃し、スタックを1減る。
バフアイコンをクリックして切り替えることができます。","当敌人瞄准友军时，与目标友军<color=#0096FF>换位</color>并获得&a治疗（&c%最大體力值）。
当敌人瞄准自己时，在敌人之前造成&b伤害并消耗一层。
你可以点击增益图标以开/关此增益。","當敵人瞄準友軍時，與目標友軍<color=#0096FF>換位</color>並獲得&a治療（&c%最大體力值）。
當敵人瞄準自己時，在敵人之前造成&b傷害並消耗一層。
你可以點擊增益圖示以開啟/關閉此增益。"
Buff/B_SwapChar_Rare_1_T_Name,Text,,전선을 사수하라!,Hold the Line!,戦線を守れ！,坚守战线！,堅守戰線！
Buff/B_SwapChar_Rare_2_T_Description,Text,,받는 공격 피해가 &a 증가합니다.,Receiving attack damage increases by &a.,受ける攻撃ダメージが&a増加します。,受到的伤害增加&a。,受到的傷害增加&a。
Buff/B_SwapChar_Rare_2_T_Name,Text,,약점,Weak Points,弱点,弱点,弱點
Buff/B_SwapChar_Rare_3_T_2_Description,Text,,<color=#0096FF>위치 버프</color>,<color=#0096FF>Position Buff</color>,<color=#0096FF>位置バフ</color>,<color=#0096FF>位置增益</color>,<color=#0096FF>位置增益</color>
Buff/B_SwapChar_Rare_3_T_2_Name,Text,,방어력 장막,Force Shield,防御力場,防御力场,防禦力場
Buff/B_SwapChar_Rare_3_T_Description,Text,,"<color=#0096FF>위치 버프</color>
적에게 피격되었을 때, 공격자에게 기절(<sprite=2>&a%)을 적용합니다.","<color=#0096FF>Position Buff</color>
Apply stun (<sprite=2>&a%) when hit by an enemy.","<color=#0096FF>位置バフ</color>
敵にヒットした場合、攻撃者にスタン（<sprite=2>&a%）を適用します。","<color=#0096FF>位置增益</color>
被敌人命中时对攻击者施加眩晕（<sprite=2>&a%）。","<color=#0096FF>位置增益</color>
被敵人命中時對攻擊者施加眩暈（<sprite=2>&a%）。"
Buff/B_SwapChar_Rare_3_T_Name,Text,,눈부신 장막,Dazzling Shield,眩しい力場,炫目力场,炫目力場
Buff/B_SwapChar_Tenacity_Description,Text,,"중첩당 방어력 +5%.
치유 게이지를 감소시키는 공격에 피격되었을 때, 스택 1개를 소모합니다.","Armor +5% for each stack.
Consume one stack when hit by an attack that can reduce healing gauge.","スタックごとに防御力+5%。
回復ゲージを減少させる攻撃にヒットした場合、スタックを1減る。","每层增加5%防御力。
受到能减少体力极限的攻击时消耗1层。","每層增加5%防禦力。
受到能減少體力極限的攻擊時會消耗1層。"
Buff/B_SwapChar_Tenacity_Name,Text,,강인함,Tenacity,タフネス,坚韧,堅韌
Character/DummySummon_PassiveDes,Text,,HP가 0 이하가 되거나 소환자가 전투 불능이 되면 파괴됩니다.,Destroyed when HP is below 0 or its sommoner faints.,HPが0になるか、召喚者が戦闘不能になると破壊されます。,当血量归零或召唤者无法战斗时被摧毁。,當血量歸零或召喚者無法戰鬥時被摧毀。
Character/DummySummon_PassiveName,Text,,가짜 아군,Fake Ally,偽りの味方,友军（假）,友軍（假）
Character/DummySummon_name,Text,,홀로그램,Hologram,ホログラム,全息护卫,全息護衛
Character/SwapChar_CampSelectWord,Text,,여기 지원군이 도착했습니다. 제가 전선을 맡겠습니다.,"Reinforcement here, I'll handle the frontline.",援軍が到着しました。私が前線を担当します。,增援已到，我来打头阵。,增援已到，我來打頭陣。
Character/SwapChar_PassiveDes,Text,,"전투 종료 시 1회 충전되는 '팔랑크스의 눈' (액티브 아이템, 2회 충전)을 획득합니다.
전투 외 사용: 전투 시작 시 아군의 위치를 조정합니다 (충전을 소모하지 않음).
전투 중 사용: 두 아군의 위치를 <color=#0096FF>위치 교환</color>하고 치유 게이지를 보호합니다.","Obtain Eye of Phalanx (active item, 2 charges, gain one charge when a battle ends).

Use out of battle: Adjust positions of allies at the start of a battle (do not consume charges).

Use in battle: <color=#0096FF>swap</color> two allies' positions and protect healing gauge.","ファランクスの目（アクティブアイテム、2チャージ、戦闘終了時に1チャージを獲得）を取得します。

戦闘外で使用：戦闘開始時の味方の位置を調整します（チャージを消費しません）。

戦闘中に使用：2人の味方の位置を<color=#0096FF>位置交換</color>し、回復ゲージを保護します。","获得列阵之眼（主动道具，2充能，战斗结束获得1充能）。

战斗外使用：调整战斗开始时队伍的位置（不消耗充能）。

战斗中使用：将两名友军<color=#0096FF>换位</color>并保护体力极限。","獲得列陣之眼（主動道具，2充能，戰鬥結束獲得1充能）。

戰鬥外使用：調整戰鬥開始時隊伍的位置（不消耗充能）。

戰鬥中使用：將兩名友軍<color=#0096FF>換位</color>並保護體力極限。"
Character/SwapChar_PassiveName,Text,,신속한 배치,Quick Deploy,迅速な布陣,快速布阵,快速布陣
Character/SwapChar_SelectInfo,Text,,"샤리테는 더 유능하고 신뢰할 수 있게 보이기 위해 군사 전술에 관심을 가졌습니다. 많은 학습과 훈련 끝에, 그녀는 근접 전투와 팀 전략의 전문가가 되었습니다. 그녀는 팀원들이 최고의 성과를 낼 수 있도록 자신이 직접 전선을 맡는 것을 우선시합니다.
샤리테는 필드 내 캐릭터의 위치를 교환하는 능력을 가지고 있으며, 이를 통해 아군을 공격으로부터 보호하거나 적의 움직임을 이용합니다.","Charite takes interest in military tactics in order to appear more competent and reliable. After a lot of learning and training, she becomes an expert at handling close quarter combat and team strategy. She prioritises taking on the front fight herself in order to let her teammates do their best untroubled.

Charite has the ability to exchange characters' position in the field, she uses that to protect her allies from incomming attacks or take advantage of the enemies' moves.","シャリテは、より有能で信頼できるように見せるために、軍事戦術に興味を持っています。多くの学習と訓練の後、彼女は近接戦闘とチーム戦略の専門家になります。彼女は、チームメイトが最高のパフォーマンスを発揮できるように、自分自身で前線の戦いを優先します。

シャリテは、フィールド内のキャラクターの位置を交換する能力を持っており、それを使って味方を攻撃から守ったり、敵の動きを利用したりします。","夏丽蒂是队伍中可靠的坦克，她在军事战术上略有所长。通过钻研战术和刻苦训练，夏丽蒂成为了调查团中团队指挥和近身作战的专家。

夏丽蒂拥有在战场中改变友军位置的能力，她善于保护友军和利用位置进行反击。","夏麗蒂是隊伍中可靠的坦克，她在軍事戰術上略有所長。透過鑽研戰術和刻苦訓練，夏麗蒂成為了調查團中團隊指揮和近身作戰的專家。

夏莉蒂擁有在戰場中改變友軍位置的能力，她善於保護友軍和利用位置進行反擊。"
Character/SwapChar_SkinDesc,Text,,샤리테의 원래 의상.,Charite's original outfits.,シャリテのオリジナル衣装,夏丽蒂的原始装束。,夏麗蒂的原始裝束。
Character/SwapChar_Text_Battle_Idle_0,Text,,루시,You got this Lucy.,ルーシー、君ならできる。,你可以的，露西。,你可以的，露西。
Character/SwapChar_Text_Battle_Idle_1,Text,,너무 생각하지 말고 그냥 이겨.,"Don't overthink it, just win.",考えすぎずに、ただ勝て。,毋需多想，只为胜利。,毋需多想，只為勝利。
Character/SwapChar_Text_Battle_Idle_2,Text,,다음 공격은 내가 받을 수 있어,I could just take the hit you know?,次の一撃は私が受けられるよ、わかる？,我可以接住下一击，了解？,我可以接住下一擊，了解？
Character/SwapChar_Text_Battle_ND_0,Text,,전술적 후퇴...!,Tactical retreat..!,戦術的撤退...！,战术撤退...!,戰術撤退...!
Character/SwapChar_Text_Battle_ND_1,Text,,방어 전술을 채택!,Engage in defensive tactics.,防御戦術を採用！,采取防守策略！,採取防守策略！
Character/SwapChar_Text_Battle_ND_2,Text,,으음...,Ugh...,うーん...,呃...,呃...
Character/SwapChar_Text_Battle_AllyND_0,Text,,아군이 쓰러졌다! 의무병!,Ally Down!,味方が倒れた！医療兵！,友军倒下了！医疗兵！,友軍倒下了！醫療兵！
Character/SwapChar_Text_Battle_AllyND_1,Text,,내가 그 공격을 막았어야 했는데.,I could have tanked it.,私がその一撃を受け止めるべきだった。,我应该挡住那一击。,我應該擋住那一擊。
Character/SwapChar_Text_Battle_AllyND_2,Text,,굳세게 버텨! 반드시 승리할 거야!,"We're all going back home, get a grip!",しっかりしろ！必ず凱旋する！,坚持住！我们定会凯旋！,堅持住！我們定會凱旋！
Character/SwapChar_Text_Battle_Kill_0,Text,,완벽했다.,No mistake made.,完璧だった。,精准无误。,精準無誤。
Character/SwapChar_Text_Battle_Kill_1,Text,,복수다!,That's payback.,仕返しだ！,以牙还牙！,以牙還牙！
Character/SwapChar_Text_Battle_Kill_2,Text,,확인,Kill confirmed.,確認、撃破。,确认，已击杀。,確認，已擊殺。
Character/SwapChar_Text_Battle_Start_0,Text,,진형을 갖춰라!,Get in formation!,陣形を組め！,列阵！,列陣！
Character/SwapChar_Text_Battle_Start_1,Text,,내 뒤에 숨어라.,Stay behind me.,私の後ろに隠れろ。,躲在我身后。,躲在我身後。
Character/SwapChar_Text_Battle_Start_2,Text,,적들은 지형의 이점을 가지고 있어..,They got terrain advantage..,彼らは地形の利がある...,他们有地形优势...,他們有地形優勢...
Character/SwapChar_Text_Battle_Cri_0,Text,,흐흐흐…,Hehehe…,ふふふ…,呵呵...,呵呵...
Character/SwapChar_Text_Battle_Cri_1,Text,,돌격!,Charge!,突撃！,冲锋！,衝鋒！
Character/SwapChar_Text_Battle_Cri_2,Text,,완벽한 일격.,Gutsfield.,完璧な一撃。,完美的一击。,完美的一擊。
Character/SwapChar_Text_Battle_Healed_0,Text,,고마워...!,Thank you...!,ありがとう...！,谢谢...!,謝謝...!
Character/SwapChar_Text_Battle_Healed_1,Text,,…계획대로야.,…Exactly as planned.,…計画通りだ。,计划掌控之中...,計劃掌控之中...
Character/SwapChar_Text_Battle_Healed_2,Text,,정신을 재정비하고 계속 싸워라!,"Back on my feet, ready for combat.",精神を整え、戦いを続けよう！,重整精神，继续战斗！,重整精神，繼續戰鬥！
Character/SwapChar_Text_Field_Idle_0,Text,,선택할 수 있는 경로가 많아.,There are only so many paths.,選択できるルートはたくさんある。,有很多路线可以选择。,有很多路線可以選擇。
Character/SwapChar_Text_Field_Idle_1,Text,,"나아가자, 동료들, 낭비할 시간은 없어.","En route comrades, we got no time to waste.",進むぞ、仲間たち、無駄にする時間はない。,继续行进，我们没有时间浪费。,繼續行進，我們沒有時間浪費。
